Country,date,Avg Temp (F)
Sweden,1/1/20,40
Sweden,1/2/20,42
Sweden,1/3/20,40
Sweden,1/4/20,33
Sweden,1/5/20,30
Sweden,1/6/20,36
Sweden,1/7/20,42
Sweden,1/8/20,43
Sweden,1/9/20,33
Sweden,1/10/20,22
Sweden,1/12/20,40
Sweden,1/14/20,37
Sweden,1/15/20,41
Sweden,1/16/20,42
Sweden,1/17/20,41
Sweden,1/18/20,39
Sweden,1/19/20,35
Sweden,1/20/20,40
Sweden,1/21/20,42
Sweden,1/22/20,36
Sweden,1/23/20,35
Sweden,1/24/20,40
Sweden,1/25/20,33
Sweden,1/26/20,41
Sweden,1/27/20,39
Sweden,1/28/20,35
Sweden,1/29/20,34
Sweden,1/30/20,33
Sweden,1/31/20,33
Sweden,2/1/20,41
Sweden,2/2/20,36
Sweden,2/3/20,29
Sweden,2/4/20,24
Sweden,2/5/20,32
Sweden,2/6/20,32
Sweden,2/7/20,33
Sweden,2/8/20,36
Sweden,2/9/20,38
Sweden,2/10/20,41
Sweden,2/11/20,35
Sweden,2/12/20,34
Sweden,2/13/20,30
Sweden,2/14/20,29
Sweden,2/15/20,38
Sweden,2/16/20,44
Sweden,2/17/20,41
Sweden,2/18/20,41
Sweden,2/19/20,36
Sweden,2/20/20,31
Sweden,2/21/20,40
Sweden,2/22/20,42
Sweden,2/23/20,37
Sweden,2/24/20,32
Sweden,2/25/20,27
Sweden,2/26/20,27
Sweden,2/27/20,22
Sweden,2/28/20,24
Sweden,2/29/20,28
Malaysia,1/1/20,82
Malaysia,1/2/20,82
Malaysia,1/3/20,82
Malaysia,1/4/20,82
Malaysia,1/5/20,82
Malaysia,1/6/20,82
Malaysia,1/7/20,81
Malaysia,1/8/20,82
Malaysia,1/9/20,83
Malaysia,1/10/20,82
Malaysia,1/11/20,80
Malaysia,1/12/20,80
Malaysia,1/13/20,81
Malaysia,1/15/20,81
Malaysia,1/16/20,81
Malaysia,1/17/20,79
Malaysia,1/18/20,82
Malaysia,1/19/20,82
Malaysia,1/20/20,82
Malaysia,1/21/20,82
Malaysia,1/22/20,82
Malaysia,1/23/20,83
Malaysia,1/24/20,81
Malaysia,1/25/20,80
Malaysia,1/26/20,80
Malaysia,1/27/20,81
Malaysia,1/28/20,82
Malaysia,1/30/20,80
Malaysia,1/31/20,80
Malaysia,2/1/20,82
Malaysia,2/2/20,82
Malaysia,2/4/20,80
Malaysia,2/5/20,80
Malaysia,2/6/20,81
Malaysia,2/7/20,81
Malaysia,2/8/20,80
Malaysia,2/9/20,81
Malaysia,2/10/20,80
Malaysia,2/11/20,82
Malaysia,2/12/20,82
Malaysia,2/13/20,83
Malaysia,2/14/20,83
Malaysia,2/15/20,81
Malaysia,2/16/20,81
Malaysia,2/17/20,79
Malaysia,2/18/20,83
Malaysia,2/19/20,83
Malaysia,2/20/20,83
Malaysia,2/21/20,83
Malaysia,2/22/20,82
Malaysia,2/23/20,82
Malaysia,2/24/20,82
Malaysia,2/25/20,82
Malaysia,2/27/20,83
Malaysia,2/28/20,82
Malaysia,2/29/20,82
Germany,2/1/20,52
Germany,2/2/20,51
Germany,2/3/20,47
Germany,2/4/20,40
Germany,2/5/20,37
Germany,2/6/20,33
Germany,2/7/20,32
Germany,2/8/20,34
Germany,2/9/20,44
Germany,2/10/20,50
Germany,2/11/20,39
Germany,2/12/20,38
Germany,2/13/20,39
Germany,2/14/20,42
Germany,2/15/20,41
Germany,2/16/20,52
Germany,2/17/20,50
Germany,2/18/20,42
Germany,2/19/20,40
Germany,2/20/20,44
Germany,2/21/20,41
Germany,2/22/20,46
Germany,2/23/20,51
Germany,2/24/20,47
Germany,2/25/20,45
Germany,2/26/20,36
Germany,2/27/20,35
Germany,2/28/20,39
Germany,2/29/20,48
Germany,3/1/20,47
Germany,3/2/20,41
Germany,3/3/20,40
Germany,3/4/20,38
Germany,3/5/20,41
Germany,3/6/20,42
Germany,3/7/20,40
Germany,3/8/20,43
Germany,3/9/20,44
Germany,3/10/20,44
Germany,3/11/20,55
Germany,3/12/20,52
Germany,3/13/20,43
Germany,3/14/20,38
Germany,3/15/20,45
Germany,3/16/20,50
Germany,3/17/20,52
Germany,3/18/20,51
Germany,3/19/20,53
Germany,3/20/20,53
Germany,3/21/20,39
Germany,3/22/20,37
Germany,3/23/20,34
Germany,3/24/20,35
Germany,3/25/20,37
Germany,2/1/20,55
